STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",1/1/15,12.3,,0,0,0,21,28,17,260,260,21.9,33.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",2/1/15,4.03,,0,0,0,19,25,8,240,260,15,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",3/1/15,5.82,,0.2,3,0,21,32,10,130,140,14.1,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",4/1/15,10.07,,0.18,2,3.1,28,32,8,320,310,21.9,30,1,,,,,,1
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",5/1/15,9.62,,0.01,0,5.1,7,9,1,270,270,23,31.1,1,,,,,1,1
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",6/1/15,10.29,,0,0,3.9,7,16,2,240,230,18.1,25.9,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",7/1/15,13.65,,0.1,1,3.1,5,10,-2,320,330,28,40,1,1,,,,1,1
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",8/1/15,13.65,,0.1,1,3.1,9,16,5,180,260,21,27.1,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",9/1/15,9.4,,0.01,0,3.9,8,12,2,260,300,18.1,25.1,1,,,,,1,1
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",10/1/15,9.62,,0,0,3.9,6,18,0,250,240,21,30,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",11/1/15,5.82,,0,0,4,18,26,15,210,220,13,18.1,,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",12/1/15,10.07,,0.02,1.5,3.9,19,23,2,330,320,25.1,31.1,,,,,,,1
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",13/1/15,3.58,,0,0,3.9,3,16,-10,200,200,10.1,13,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",14/1/15,4.92,,0,0,3.9,5,23,-14,190,270,12.1,15,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",15/1/15,10.51,,0.02,0.2,3.9,24,33,20,310,320,21.9,31.1,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",16/1/15,7.83,,0.01,0.6,5.1,18,25,-8,310,320,19.9,29.1,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",17/1/15,10.96,,0,0,5.1,14,38,-3,150,160,25.9,32,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",18/1/15,8.05,,0.04,0.2,4,34,38,26,310,320,15,19.9,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",19/1/15,6.93,,0,0,3.1,21,26,2,340,320,16.1,21.9,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",20/1/15,1.34,,0,0,3.1,9,23,-2,40,40,12.1,13,1,,,,,,
